1/alpha,b,error
0.1,7.78988559066242e-06,2.1230727888797e-06
0.2,8.82460975720266e-06,2.40940090640024e-06
0.3,-4.51465578712252e-06,9.13457947131883e-06
0.4,-0.000807101041828647,0.000247226059725077
0.5,-0.00737601194616189,0.00111943144971674
0.6,-0.0334456959324262,0.00314558363539776
0.7,-0.075251070005227,0.00324632826408792
0.8,-0.0861774426396894,0.000692629916750787
0.9,-0.0420156628094274,0.000926190352617068
1,0.0229401353075966,0.00104722977369627
1.1,0.0790363677272354,0.00114306526956912
1.2,0.119901451887375,0.00154168926138103
1.3,0.148325505847472,0.00211815285593661
1.4,0.168121527138613,0.00271642026886726
1.5,0.182145203179712,0.00326149056477951
1.6,0.19230358852964,0.00374203773278015
1.7,0.199821092883336,0.00414896667541736
1.8,0.205511106984454,0.00449426662835942
1.9,0.2099176914488,0.00477826747669774
2,0.213393303258571,0.00500137441984691
2.1,0.216197099169197,0.00516963177917887
2.2,0.218506156979726,0.00528912397968703
2.3,0.220457048138644,0.00536625187173853
2.4,0.222147827571496,0.00538498139882115
2.5,0.223652319502543,0.00535275807136662
2.6,0.225036037955366,0.00526757095580749
2.7,0.226342904389672,0.00512152065027496
2.8,0.227606489185487,0.00492298173376488
2.9,0.228862102616258,0.00466604089283451
3,0.230138410218463,0.00434457067782823
